YYYY/MM/DD,HH:MM:SS,PM2.5
2024/04/09,02:00:00,66.37
2024/04/09,03:00:00,65.43
2024/04/09,04:00:00,64.7
2024/04/09,05:00:00,63.75
2024/04/09,06:00:00,62.63
2024/04/09,07:00:00,62.63
2024/04/09,08:00:00,67.74
2024/04/09,09:00:00,80.4
2024/04/09,10:00:00,110.95
2024/04/09,11:00:00,53.66
2024/04/09,12:00:00,44.38
2024/04/09,13:00:00,42.83
2024/04/09,14:00:00,47.3
2024/04/09,15:00:00,54.95
2024/04/09,16:00:00,56.22
2024/04/09,17:00:00,56.19
2024/04/09,18:00:00,59.5
2024/04/09,19:00:00,61.35
2024/04/09,20:00:00,60.96
2024/04/09,21:00:00,60.3
2024/04/09,22:00:00,60.06
2024/04/09,23:00:00,57.93
2024/04/10,00:00:00,58.08
2024/04/10,01:00:00,59.39
2024/04/10,02:00:00,61.44
2024/04/10,03:00:00,63
2024/04/10,04:00:00,63.22
2024/04/10,05:00:00,62.78
2024/04/10,06:00:00,64.07
2024/04/10,07:00:00,68.27
2024/04/10,08:00:00,73.94
2024/04/10,09:00:00,83.17
2024/04/10,10:00:00,96.17
2024/04/10,11:00:00,44.99
2024/04/10,12:00:00,25.98
2024/04/10,13:00:00,20.55
2024/04/10,14:00:00,19.2
2024/04/10,15:00:00,18.8
2024/04/10,16:00:00,17.82
2024/04/10,17:00:00,20.4
2024/04/10,18:00:00,26.27
2024/04/10,19:00:00,31.9
2024/04/10,20:00:00,36.47
2024/04/10,21:00:00,41.03
2024/04/10,22:00:00,45.17
2024/04/10,23:00:00,47.42
2024/04/11,00:00:00,47.91
2024/04/11,01:00:00,48.58
2024/04/11,02:00:00,49.03
2024/04/11,03:00:00,49.34
2024/04/11,04:00:00,49.93
2024/04/11,05:00:00,51.09
2024/04/11,06:00:00,52.76
2024/04/11,07:00:00,56.28
2024/04/11,08:00:00,59.95
2024/04/11,09:00:00,74.25
2024/04/11,10:00:00,102.51
2024/04/11,11:00:00,45.9
2024/04/11,12:00:00,26.49
2024/04/11,13:00:00,19.94
2024/04/11,14:00:00,18.14
2024/04/11,15:00:00,19.36
2024/04/11,16:00:00,18.82
2024/04/11,17:00:00,18.57
2024/04/11,18:00:00,20.04
2024/04/11,19:00:00,21.34
2024/04/11,20:00:00,24.56
2024/04/11,21:00:00,29
2024/04/11,22:00:00,32.62
2024/04/11,23:00:00,34.8
2024/04/12,00:00:00,35.61
2024/04/12,01:00:00,36.17
2024/04/12,02:00:00,37.48
2024/04/12,03:00:00,38.92
2024/04/12,04:00:00,40.13
2024/04/12,05:00:00,41.35
2024/04/12,06:00:00,43.34
2024/04/12,07:00:00,47.85
2024/04/12,08:00:00,54.05
2024/04/12,09:00:00,65.27
2024/04/12,10:00:00,92.09
2024/04/12,11:00:00,40.97
2024/04/12,12:00:00,23.64
2024/04/12,13:00:00,19.73
2024/04/12,14:00:00,22.39
2024/04/12,15:00:00,29.06
2024/04/12,16:00:00,32.01
2024/04/12,17:00:00,33.27
2024/04/12,18:00:00,34.48
2024/04/12,19:00:00,33.2
2024/04/12,20:00:00,35.5
2024/04/12,21:00:00,39.84
2024/04/12,22:00:00,42.08
2024/04/12,23:00:00,43.25
2024/04/13,00:00:00,43.15
2024/04/13,01:00:00,41.83
2024/04/13,02:00:00,39.48
2024/04/13,03:00:00,37.71
2024/04/13,04:00:00,36.9
2024/04/13,05:00:00,36.52
2024/04/13,06:00:00,36.37
2024/04/13,07:00:00,37.75
2024/04/13,08:00:00,41.42
2024/04/13,09:00:00,51.44
2024/04/13,10:00:00,76.45
2024/04/13,11:00:00,38.29
2024/04/13,12:00:00,32.93
2024/04/13,13:00:00,31.33
2024/04/13,14:00:00,34.8
2024/04/13,15:00:00,43.2
2024/04/13,16:00:00,48.94
2024/04/13,17:00:00,52.16
2024/04/13,18:00:00,52.16
2024/04/13,19:00:00,47.63
2024/04/13,20:00:00,45.11
2024/04/13,21:00:00,45.11
2024/04/13,22:00:00,45.95
2024/04/13,23:00:00,46.46
2024/04/14,00:00:00,45.85
2024/04/14,01:00:00,45.36
2024/04/14,02:00:00,44.1
2024/04/14,03:00:00,42.48
2024/04/14,04:00:00,42.2
2024/04/14,05:00:00,41.92
2024/04/14,06:00:00,41.38
2024/04/14,07:00:00,41.43
2024/04/14,08:00:00,44.3
2024/04/14,09:00:00,52.13
2024/04/14,10:00:00,68.42
2024/04/14,11:00:00,46.3
2024/04/14,12:00:00,41.95
2024/04/14,13:00:00,40.66
2024/04/14,14:00:00,44.02
2024/04/14,15:00:00,50.51
2024/04/14,16:00:00,52.76
2024/04/14,17:00:00,53.19
2024/04/14,18:00:00,54.57
2024/04/14,19:00:00,53.34
2024/04/14,20:00:00,54.71
2024/04/14,21:00:00,56.83
2024/04/14,22:00:00,57.91
2024/04/14,23:00:00,57.33
2024/04/15,00:00:00,56.23
2024/04/15,01:00:00,55.7
2024/04/15,02:00:00,55.08
2024/04/15,03:00:00,54.78
2024/04/15,04:00:00,54.51
2024/04/15,05:00:00,54.63
2024/04/15,06:00:00,54.97
2024/04/15,07:00:00,57.37
2024/04/15,08:00:00,63.5
2024/04/15,09:00:00,75.2
2024/04/15,10:00:00,107.42
2024/04/15,11:00:00,60.92
2024/04/15,12:00:00,47.54
2024/04/15,13:00:00,42.33
2024/04/15,14:00:00,38.57
2024/04/15,15:00:00,35.67
2024/04/15,16:00:00,31.53
2024/04/15,17:00:00,32.32
2024/04/15,18:00:00,36.98
2024/04/15,19:00:00,40.87
2024/04/15,20:00:00,46.38
2024/04/15,21:00:00,51.56
2024/04/15,22:00:00,54.61
2024/04/15,23:00:00,57.55
2024/04/16,00:00:00,59.19
2024/04/16,01:00:00,59.68
2024/04/16,02:00:00,57.49
