YYYY/MM/DD,HH:MM:SS,PM2.5
2023/04/01,07:00:00,69.22
2023/04/01,08:00:00,74.43
2023/04/01,09:00:00,84.46
2023/04/01,10:00:00,112.16
2023/04/01,11:00:00,92.83
2023/04/01,12:00:00,86.2
2023/04/01,13:00:00,80.75
2023/04/01,14:00:00,75.62
2023/04/01,15:00:00,70.39
2023/04/01,16:00:00,60.33
2023/04/01,17:00:00,51.42
2023/04/01,18:00:00,48.85
2023/04/01,19:00:00,48.23
2023/04/01,20:00:00,50.77
2023/04/01,21:00:00,53.67
2023/04/01,22:00:00,53.69
2023/04/01,23:00:00,51.75
2023/04/02,00:00:00,51.67
2023/04/02,01:00:00,55.41
2023/04/02,02:00:00,62.88
2023/04/02,03:00:00,70.33
2023/04/02,04:00:00,73.94
2023/04/02,05:00:00,74.51
2023/04/02,06:00:00,76.9
2023/04/02,07:00:00,83.33
2023/04/02,08:00:00,85.78
2023/04/02,09:00:00,93.59
2023/04/02,10:00:00,114.8
2023/04/02,11:00:00,69.48
2023/04/02,12:00:00,56.13
2023/04/02,13:00:00,45.25
2023/04/02,14:00:00,36.74
2023/04/02,15:00:00,26.06
2023/04/02,16:00:00,16.99
2023/04/02,17:00:00,13.93
2023/04/02,18:00:00,14.71
2023/04/02,19:00:00,16.27
2023/04/02,20:00:00,21.93
2023/04/02,21:00:00,28.71
2023/04/02,22:00:00,34.64
2023/04/02,23:00:00,39.64
2023/04/03,00:00:00,43.15
2023/04/03,01:00:00,46.37
2023/04/03,02:00:00,47.37
2023/04/03,03:00:00,47.44
2023/04/03,04:00:00,48.94
2023/04/03,05:00:00,50.89
2023/04/03,06:00:00,53.32
2023/04/03,07:00:00,59.33
2023/04/03,08:00:00,65.78
2023/04/03,09:00:00,82.39
2023/04/03,10:00:00,117.06
2023/04/03,11:00:00,71.32
2023/04/03,12:00:00,49.99
2023/04/03,13:00:00,38.66
2023/04/03,14:00:00,28.24
2023/04/03,15:00:00,19.64
2023/04/03,16:00:00,14.77
2023/04/03,17:00:00,15.71
2023/04/03,18:00:00,20.02
2023/04/03,19:00:00,22.42
2023/04/03,20:00:00,26.22
2023/04/03,21:00:00,30.48
2023/04/03,22:00:00,32.77
2023/04/03,23:00:00,32.43
2023/04/04,00:00:00,31.85
2023/04/04,01:00:00,32.36
2023/04/04,02:00:00,32.27
2023/04/04,03:00:00,32.16
2023/04/04,04:00:00,32.74
2023/04/04,05:00:00,33.8
2023/04/04,06:00:00,35.39
2023/04/04,07:00:00,39.75
2023/04/04,08:00:00,50.42
2023/04/04,09:00:00,72.4
2023/04/04,10:00:00,126.62
2023/04/04,11:00:00,34.34
2023/04/04,12:00:00,22.13
2023/04/04,13:00:00,17.53
2023/04/04,14:00:00,15.86
2023/04/04,15:00:00,17.13
2023/04/04,16:00:00,17.03
2023/04/04,17:00:00,24.57
2023/04/04,18:00:00,38.64
2023/04/04,19:00:00,45.62
2023/04/04,20:00:00,50.1
2023/04/04,21:00:00,54.02
2023/04/04,22:00:00,53.09
2023/04/04,23:00:00,47.77
2023/04/05,00:00:00,45.58
2023/04/05,01:00:00,44.99
2023/04/05,02:00:00,44.47
2023/04/05,03:00:00,44.18
2023/04/05,04:00:00,45.22
