YYYY/MM/DD,HH:MM:SS,PM2.5
2022/07/01,07:00:00,30.64
2022/07/01,08:00:00,35.4
2022/07/01,09:00:00,38.44
2022/07/01,10:00:00,38.59
2022/07/01,11:00:00,32.09
2022/07/01,12:00:00,27.83
2022/07/01,13:00:00,26.35
2022/07/01,14:00:00,26.71
2022/07/01,15:00:00,26.15
2022/07/01,16:00:00,24.98
2022/07/01,17:00:00,28.11
2022/07/01,18:00:00,35.62
2022/07/01,19:00:00,40.28
2022/07/01,20:00:00,39.36
2022/07/01,21:00:00,40.58
2022/07/01,22:00:00,45.19
2022/07/01,23:00:00,47.69
2022/07/02,00:00:00,44.41
2022/07/02,01:00:00,37.06
2022/07/02,02:00:00,30.31
2022/07/02,03:00:00,26.11
2022/07/02,04:00:00,22.61
2022/07/02,05:00:00,19.39
2022/07/02,06:00:00,18.65
2022/07/02,07:00:00,21.52
2022/07/02,08:00:00,25.19
2022/07/02,09:00:00,27.67
2022/07/02,10:00:00,28.92
2022/07/02,11:00:00,28.97
2022/07/02,12:00:00,29.7
2022/07/02,13:00:00,34.18
2022/07/02,14:00:00,53.07
2022/07/02,15:00:00,65.13
2022/07/02,16:00:00,62.27
2022/07/02,17:00:00,58.97
2022/07/02,18:00:00,63.11
2022/07/02,19:00:00,62.68
2022/07/02,20:00:00,55.95
2022/07/02,21:00:00,53.23
2022/07/02,22:00:00,56.96
2022/07/02,23:00:00,58.23
2022/07/03,00:00:00,51.56
2022/07/03,01:00:00,40.6
2022/07/03,02:00:00,31.61
2022/07/03,03:00:00,27.18
2022/07/03,04:00:00,22.88
2022/07/03,05:00:00,19.64
2022/07/03,06:00:00,19.03
2022/07/03,07:00:00,22.29
2022/07/03,08:00:00,24.43
2022/07/03,09:00:00,23.93
2022/07/03,10:00:00,21.85
2022/07/03,11:00:00,11.71
2022/07/03,12:00:00,8.83
2022/07/03,13:00:00,7.74
2022/07/03,14:00:00,7.06
2022/07/03,15:00:00,6.47
2022/07/03,16:00:00,6.2
2022/07/03,17:00:00,11.93
2022/07/03,18:00:00,22.51
2022/07/03,19:00:00,32.65
2022/07/03,20:00:00,42.28
2022/07/03,21:00:00,48.24
2022/07/03,22:00:00,46.08
2022/07/03,23:00:00,38.55
2022/07/04,00:00:00,31.84
2022/07/04,01:00:00,27.01
2022/07/04,02:00:00,23.71
2022/07/04,03:00:00,24.29
2022/07/04,04:00:00,26.1
2022/07/04,05:00:00,27.7
2022/07/04,06:00:00,30.7
2022/07/04,07:00:00,38.08
2022/07/04,08:00:00,38.99
2022/07/04,09:00:00,34.83
2022/07/04,10:00:00,27.93
2022/07/04,11:00:00,13.96
2022/07/04,12:00:00,11.84
2022/07/04,13:00:00,10.63
2022/07/04,14:00:00,9.2
2022/07/04,15:00:00,8.4
2022/07/04,16:00:00,8.79
2022/07/04,17:00:00,16.01
2022/07/04,18:00:00,26.35
2022/07/04,19:00:00,35.33
2022/07/04,20:00:00,44.17
2022/07/04,21:00:00,50.84
2022/07/04,22:00:00,54.33
