YYYY/MM/DD,HH:MM:SS,PM2.5
2024/01/01,07:00:00,60.17
2024/01/01,08:00:00,64.75
2024/01/01,09:00:00,69.71
2024/01/01,10:00:00,79.75
2024/01/01,11:00:00,73.72
2024/01/01,12:00:00,85.75
2024/01/01,13:00:00,98.2
2024/01/01,14:00:00,116.23
2024/01/01,15:00:00,134.25
2024/01/01,16:00:00,129.34
2024/01/01,17:00:00,119.13
2024/01/01,18:00:00,124.34
2024/01/01,19:00:00,129.18
2024/01/01,20:00:00,127.14
2024/01/01,21:00:00,122.88
2024/01/01,22:00:00,118.71
2024/01/01,23:00:00,111.91
2024/01/02,00:00:00,100.85
2024/01/02,01:00:00,88.53
2024/01/02,02:00:00,77.59
2024/01/02,03:00:00,70.31
2024/01/02,04:00:00,67.07
2024/01/02,05:00:00,64.85
2024/01/02,06:00:00,62.65
2024/01/02,07:00:00,62.39
2024/01/02,08:00:00,65.97
2024/01/02,09:00:00,68.67
2024/01/02,10:00:00,67.68
2024/01/02,11:00:00,65.88
2024/01/02,12:00:00,77.13
2024/01/02,13:00:00,90.61
2024/01/02,14:00:00,111.73
2024/01/02,15:00:00,141.71
2024/01/02,16:00:00,172.33
2024/01/02,17:00:00,196.2
2024/01/02,18:00:00,215.12
2024/01/02,19:00:00,226.64
2024/01/02,20:00:00,201.84
2024/01/02,21:00:00,165.98
2024/01/02,22:00:00,137.11
2024/01/02,23:00:00,117.53
2024/01/03,00:00:00,97.36
2024/01/03,01:00:00,78.22
2024/01/03,02:00:00,63.6
2024/01/03,03:00:00,55.42
2024/01/03,04:00:00,51.45
2024/01/03,05:00:00,48.36
2024/01/03,06:00:00,46.3
2024/01/03,07:00:00,48.57
2024/01/03,08:00:00,55.13
2024/01/03,09:00:00,61.35
2024/01/03,10:00:00,68.59
2024/01/03,11:00:00,63.77
2024/01/03,12:00:00,78.11
2024/01/03,13:00:00,92.12
2024/01/03,14:00:00,114.28
2024/01/03,15:00:00,138.66
2024/01/03,16:00:00,143.46
2024/01/03,17:00:00,145.29
2024/01/03,18:00:00,146.24
2024/01/03,19:00:00,140.57
2024/01/03,20:00:00,130.47
2024/01/03,21:00:00,117.33
2024/01/03,22:00:00,106.63
2024/01/03,23:00:00,97.45
2024/01/04,00:00:00,87.2
2024/01/04,01:00:00,77.1
2024/01/04,02:00:00,68.87
2024/01/04,03:00:00,62.82
2024/01/04,04:00:00,58.46
2024/01/04,05:00:00,55.23
2024/01/04,06:00:00,53.86
2024/01/04,07:00:00,56.71
2024/01/04,08:00:00,63.92
2024/01/04,09:00:00,72.4
2024/01/04,10:00:00,86.16
2024/01/04,11:00:00,94.25
2024/01/04,12:00:00,133.03
2024/01/04,13:00:00,173.15
2024/01/04,14:00:00,194.03
2024/01/04,15:00:00,190.65
2024/01/04,16:00:00,168.15
2024/01/04,17:00:00,146.94
2024/01/04,18:00:00,135.72
2024/01/04,19:00:00,121.95
2024/01/04,20:00:00,108.7
2024/01/04,21:00:00,101.1
2024/01/04,22:00:00,96.94
2024/01/04,23:00:00,87.33
2024/01/05,00:00:00,75.46
2024/01/05,01:00:00,68.28
2024/01/05,02:00:00,62.73
2024/01/05,03:00:00,57.76
2024/01/05,04:00:00,54.24
2024/01/05,05:00:00,51.4
