YYYY/MM/DD,HH:MM:SS,PM2.5
2022/04/01,07:00:00,45.66
2022/04/01,08:00:00,56.52
2022/04/01,09:00:00,66.51
2022/04/01,10:00:00,88.32
2022/04/01,11:00:00,35.61
2022/04/01,12:00:00,19.73
2022/04/01,13:00:00,14.2
2022/04/01,14:00:00,13.88
2022/04/01,15:00:00,14.92
2022/04/01,16:00:00,15.17
2022/04/01,17:00:00,23.86
2022/04/01,18:00:00,37.94
2022/04/01,19:00:00,49.52
2022/04/01,20:00:00,59.65
2022/04/01,21:00:00,71.38
2022/04/01,22:00:00,79.21
2022/04/01,23:00:00,37.12
2022/04/02,00:00:00,27.26
2022/04/02,01:00:00,24.29
2022/04/02,02:00:00,25.75
2022/04/02,03:00:00,26.5
2022/04/02,04:00:00,24.92
2022/04/02,05:00:00,21.75
2022/04/02,06:00:00,19.26
2022/04/02,07:00:00,18.72
2022/04/02,08:00:00,17.46
2022/04/02,09:00:00,14.46
2022/04/02,10:00:00,11.51
2022/04/02,11:00:00,9.12
2022/04/02,12:00:00,7.27
2022/04/02,13:00:00,6.27
2022/04/02,14:00:00,6.38
2022/04/02,15:00:00,7.16
2022/04/02,16:00:00,7.78
2022/04/02,17:00:00,8.67
2022/04/02,18:00:00,9.84
2022/04/02,19:00:00,11.26
2022/04/02,20:00:00,11.75
2022/04/02,21:00:00,11.82
2022/04/02,22:00:00,12.02
2022/04/02,23:00:00,12.25
2022/04/03,00:00:00,12.22
2022/04/03,01:00:00,12.17
2022/04/03,02:00:00,12.15
2022/04/03,03:00:00,12.11
2022/04/03,04:00:00,11.96
2022/04/03,05:00:00,11.71
2022/04/03,06:00:00,11.7
2022/04/03,07:00:00,12.36
2022/04/03,08:00:00,13.52
2022/04/03,09:00:00,14.82
2022/04/03,10:00:00,15.44
2022/04/03,11:00:00,13.33
2022/04/03,12:00:00,12.58
2022/04/03,13:00:00,12.31
2022/04/03,14:00:00,15.01
2022/04/03,15:00:00,20.76
2022/04/03,16:00:00,25.4
2022/04/03,17:00:00,39.35
2022/04/03,18:00:00,68.71
2022/04/03,19:00:00,90.11
2022/04/03,20:00:00,96.28
2022/04/03,21:00:00,94.25
2022/04/03,22:00:00,83.69
2022/04/03,23:00:00,70.96
2022/04/04,00:00:00,60.18
2022/04/04,01:00:00,52.28
2022/04/04,02:00:00,48
2022/04/04,03:00:00,45.57
2022/04/04,04:00:00,43.7
2022/04/04,05:00:00,40.63
2022/04/04,06:00:00,39.87
2022/04/04,07:00:00,46.42
2022/04/04,08:00:00,59.2
2022/04/04,09:00:00,96.68
2022/04/04,10:00:00,219.04
2022/04/04,11:00:00,215.23
2022/04/04,12:00:00,156.29
2022/04/04,13:00:00,77.3
2022/04/04,14:00:00,35.44
2022/04/04,15:00:00,34.38
2022/04/04,16:00:00,35.25
2022/04/04,17:00:00,38.02
2022/04/04,18:00:00,38.92
2022/04/04,19:00:00,36.33
2022/04/04,20:00:00,38.35
2022/04/04,21:00:00,45.56
2022/04/04,22:00:00,53.9
2022/04/04,23:00:00,60.32
2022/04/05,00:00:00,61.5
2022/04/05,01:00:00,57.99
2022/04/05,02:00:00,53.69
2022/04/05,03:00:00,50.85
2022/04/05,04:00:00,49.4
2022/04/05,05:00:00,48.38
2022/04/05,06:00:00,48.69
2022/04/05,07:00:00,52.69
2022/04/05,08:00:00,52.92
2022/04/05,09:00:00,65.77
2022/04/05,10:00:00,94.29
2022/04/05,11:00:00,125.69
2022/04/05,12:00:00,168.35
2022/04/05,13:00:00,212.89
2022/04/05,14:00:00,247.61
2022/04/05,15:00:00,269.47
2022/04/05,16:00:00,279.93
2022/04/05,17:00:00,302.93
2022/04/05,18:00:00,322.67
2022/04/05,19:00:00,303.37
2022/04/05,20:00:00,274.13
2022/04/05,21:00:00,247.4
2022/04/05,22:00:00,217.25
2022/04/05,23:00:00,181.65
2022/04/06,00:00:00,149.55
2022/04/06,01:00:00,124.25
2022/04/06,02:00:00,104.87
2022/04/06,03:00:00,91.98
2022/04/06,04:00:00,81.77
2022/04/06,05:00:00,73.37
2022/04/06,06:00:00,68.28
2022/04/06,07:00:00,68.76
2022/04/06,08:00:00,67.36
2022/04/06,09:00:00,67.72
2022/04/06,10:00:00,69.12
2022/04/06,11:00:00,62.72
2022/04/06,12:00:00,57.93
2022/04/06,13:00:00,50.42
2022/04/06,14:00:00,53.12
2022/04/06,15:00:00,67.72
2022/04/06,16:00:00,85.54
2022/04/06,17:00:00,106.45
2022/04/06,18:00:00,136.47
2022/04/06,19:00:00,160.21
2022/04/06,20:00:00,168.18
2022/04/06,21:00:00,163.29
2022/04/06,22:00:00,150.16
2022/04/06,23:00:00,119.25
2022/04/07,00:00:00,106.69
2022/04/07,01:00:00,97.85
2022/04/07,02:00:00,90.26
2022/04/07,03:00:00,81.91
2022/04/07,04:00:00,72.74
