YYYY/MM/DD,HH:MM:SS,PM2.5
2023/01/01,07:00:00,81.57
2023/01/01,08:00:00,82.03
2023/01/01,09:00:00,85.17
2023/01/01,10:00:00,89.31
2023/01/01,11:00:00,79.83
2023/01/01,12:00:00,70.42
2023/01/01,13:00:00,64.3
2023/01/01,14:00:00,63.64
2023/01/01,15:00:00,67.66
2023/01/01,16:00:00,65.16
2023/01/01,17:00:00,65.28
2023/01/01,18:00:00,77.72
2023/01/01,19:00:00,91.3
2023/01/01,20:00:00,94.35
2023/01/01,21:00:00,93
2023/01/01,22:00:00,90.68
2023/01/01,23:00:00,88.92
2023/01/02,00:00:00,83.68
2023/01/02,01:00:00,77.91
2023/01/02,02:00:00,74.37
2023/01/02,03:00:00,72.6
2023/01/02,04:00:00,70.72
2023/01/02,05:00:00,67.73
2023/01/02,06:00:00,66.92
2023/01/02,07:00:00,72.44
2023/01/02,08:00:00,81.99
2023/01/02,09:00:00,95.23
2023/01/02,10:00:00,117.94
2023/01/02,11:00:00,63.05
2023/01/02,12:00:00,56.37
2023/01/02,13:00:00,52.8
2023/01/02,14:00:00,61.15
2023/01/02,15:00:00,87.07
2023/01/02,16:00:00,115
2023/01/02,17:00:00,158.64
2023/01/02,18:00:00,208.63
2023/01/02,19:00:00,221.29
2023/01/02,20:00:00,198.57
2023/01/02,21:00:00,175.31
2023/01/02,22:00:00,154.85
2023/01/02,23:00:00,136.74
2023/01/03,00:00:00,114.79
2023/01/03,01:00:00,91.03
2023/01/03,02:00:00,72.7
2023/01/03,03:00:00,62.55
2023/01/03,04:00:00,56.62
2023/01/03,05:00:00,52.15
2023/01/03,06:00:00,50.53
2023/01/03,07:00:00,54.68
2023/01/03,08:00:00,64.01
2023/01/03,09:00:00,74.98
2023/01/03,10:00:00,81.72
2023/01/03,11:00:00,40.15
2023/01/03,12:00:00,40.44
2023/01/03,13:00:00,44.69
2023/01/03,14:00:00,57.49
2023/01/03,15:00:00,81.78
2023/01/03,16:00:00,112.86
2023/01/03,17:00:00,149.54
2023/01/03,18:00:00,186.57
2023/01/03,19:00:00,194.69
2023/01/03,20:00:00,179.62
2023/01/03,21:00:00,170.61
2023/01/03,22:00:00,165.11
2023/01/03,23:00:00,152.76
2023/01/04,00:00:00,142.46
2023/01/04,01:00:00,130.72
2023/01/04,02:00:00,117.32
2023/01/04,03:00:00,104.96
2023/01/04,04:00:00,94.34
2023/01/04,05:00:00,84.41
2023/01/04,06:00:00,76.48
2023/01/04,07:00:00,75.01
2023/01/04,08:00:00,80.17
2023/01/04,09:00:00,89.05
2023/01/04,10:00:00,100.03
2023/01/04,11:00:00,61.57
2023/01/04,12:00:00,60.35
2023/01/04,13:00:00,62.38
2023/01/04,14:00:00,74.17
2023/01/04,15:00:00,98.6
2023/01/04,16:00:00,123.05
2023/01/04,17:00:00,139.87
2023/01/04,18:00:00,149.09
2023/01/04,19:00:00,150.94
2023/01/04,20:00:00,136.45
2023/01/04,21:00:00,128.81
2023/01/04,22:00:00,131.17
2023/01/04,23:00:00,132.78
2023/01/05,00:00:00,125.94
2023/01/05,01:00:00,112.68
2023/01/05,02:00:00,101.68
2023/01/05,03:00:00,92.47
2023/01/05,04:00:00,84.25
2023/01/05,05:00:00,76.51
2023/01/05,06:00:00,73.41
2023/01/05,07:00:00,78.05
2023/01/05,08:00:00,86.82
2023/01/05,09:00:00,99.16
2023/01/05,10:00:00,126.01
2023/01/05,11:00:00,54.53
2023/01/05,12:00:00,46.29
2023/01/05,13:00:00,42.98
2023/01/05,14:00:00,37.96
2023/01/05,15:00:00,35.67
2023/01/05,16:00:00,34.56
2023/01/05,17:00:00,44.92
2023/01/05,18:00:00,64.67
2023/01/05,19:00:00,78.36
2023/01/05,20:00:00,82.72
2023/01/05,21:00:00,83.37
2023/01/05,22:00:00,82.57
2023/01/05,23:00:00,79.57
2023/01/06,00:00:00,71.02
2023/01/06,01:00:00,57.84
2023/01/06,02:00:00,46.2
2023/01/06,03:00:00,39.97
2023/01/06,04:00:00,37.09
2023/01/06,05:00:00,35.56
2023/01/06,06:00:00,35.57
2023/01/06,07:00:00,40.35
2023/01/06,08:00:00,49.1
2023/01/06,09:00:00,57.17
2023/01/06,10:00:00,60.5
2023/01/06,11:00:00,26.28
2023/01/06,12:00:00,23.68
2023/01/06,13:00:00,21.43
2023/01/06,14:00:00,21.58
