YYYY/MM/DD,HH:MM:SS,PM2.5
2023/07/01,07:00:00,44.62
2023/07/01,08:00:00,47.01
2023/07/01,09:00:00,50.94
2023/07/01,10:00:00,53.19
2023/07/01,11:00:00,52.41
2023/07/01,12:00:00,53
2023/07/01,13:00:00,40.32
2023/07/01,14:00:00,20.07
2023/07/01,15:00:00,11.96
2023/07/01,16:00:00,8.12
2023/07/01,17:00:00,11.57
2023/07/01,18:00:00,19.16
2023/07/01,19:00:00,24.28
2023/07/01,20:00:00,28.56
2023/07/01,21:00:00,33.4
2023/07/01,22:00:00,37.29
2023/07/01,23:00:00,35.16
2023/07/02,00:00:00,33.71
2023/07/02,01:00:00,30.84
2023/07/02,02:00:00,30.2
2023/07/02,03:00:00,31.22
2023/07/02,04:00:00,30.98
2023/07/02,05:00:00,28.67
2023/07/02,06:00:00,28.12
2023/07/02,07:00:00,31.12
2023/07/02,08:00:00,32.45
2023/07/02,09:00:00,32.44
2023/07/02,10:00:00,29.9
2023/07/02,11:00:00,26.96
2023/07/02,12:00:00,28.81
2023/07/02,13:00:00,31.16
2023/07/02,14:00:00,35.89
2023/07/02,15:00:00,40.44
2023/07/02,16:00:00,39.65
2023/07/02,17:00:00,35.08
2023/07/02,18:00:00,27.88
2023/07/02,19:00:00,17.95
2023/07/02,20:00:00,14.07
2023/07/02,21:00:00,17.2
2023/07/02,22:00:00,22.84
2023/07/02,23:00:00,28.16
2023/07/03,00:00:00,30.59
2023/07/03,01:00:00,32.51
2023/07/03,02:00:00,35.41
2023/07/03,03:00:00,39.27
2023/07/03,04:00:00,43.59
2023/07/03,05:00:00,46.84
2023/07/03,06:00:00,50.85
2023/07/03,07:00:00,58.02
2023/07/03,08:00:00,56.17
2023/07/03,09:00:00,57.49
2023/07/03,10:00:00,58.13
2023/07/03,11:00:00,50.57
2023/07/03,12:00:00,36.73
2023/07/03,13:00:00,19.47
2023/07/03,14:00:00,7.9
2023/07/03,15:00:00,7.83
2023/07/03,16:00:00,8.38
2023/07/03,17:00:00,13.49
2023/07/03,18:00:00,22.15
2023/07/03,19:00:00,30.35
2023/07/03,20:00:00,36.83
2023/07/03,21:00:00,44.42
2023/07/03,22:00:00,53.06
2023/07/03,23:00:00,59.4
2023/07/04,00:00:00,61.36
2023/07/04,01:00:00,60.21
2023/07/04,02:00:00,58.05
2023/07/04,03:00:00,57.4
2023/07/04,04:00:00,56.59
2023/07/04,05:00:00,55.57
2023/07/04,06:00:00,57.8
2023/07/04,07:00:00,63.21
2023/07/04,08:00:00,55.39
2023/07/04,09:00:00,44.96
2023/07/04,10:00:00,33.94
2023/07/04,11:00:00,21.83
2023/07/04,12:00:00,13.88
2023/07/04,13:00:00,9.25
2023/07/04,14:00:00,6.11
2023/07/04,15:00:00,4.53
2023/07/04,16:00:00,3.84
2023/07/04,17:00:00,3.95
2023/07/04,18:00:00,4.92
2023/07/04,19:00:00,5.74
2023/07/04,20:00:00,6.24
2023/07/04,21:00:00,7.57
2023/07/04,22:00:00,9.83
2023/07/04,23:00:00,11.68
2023/07/05,00:00:00,11.63
2023/07/05,01:00:00,10.93
2023/07/05,02:00:00,11.02
2023/07/05,03:00:00,10.35
2023/07/05,04:00:00,8.65
2023/07/05,05:00:00,7.47
2023/07/05,06:00:00,8.53
2023/07/05,07:00:00,13.69
2023/07/05,08:00:00,20.75
2023/07/05,09:00:00,24.02
2023/07/05,10:00:00,22.98
2023/07/05,11:00:00,19.19
2023/07/05,12:00:00,15.58
2023/07/05,13:00:00,12.29
2023/07/05,14:00:00,9.63
2023/07/05,15:00:00,7.59
2023/07/05,16:00:00,5.96
2023/07/05,17:00:00,6.63
2023/07/05,18:00:00,10.24
2023/07/05,19:00:00,14.5
2023/07/05,20:00:00,20.05
2023/07/05,21:00:00,27.8
2023/07/05,22:00:00,37.51
2023/07/05,23:00:00,47.11
2023/07/06,00:00:00,52.01
2023/07/06,01:00:00,52.6
2023/07/06,02:00:00,51.36
2023/07/06,03:00:00,50.25
2023/07/06,04:00:00,48.38
2023/07/06,05:00:00,45.4
2023/07/06,06:00:00,46.29
2023/07/06,07:00:00,52.72
2023/07/06,08:00:00,54.54
2023/07/06,09:00:00,59.46
2023/07/06,10:00:00,96.64
2023/07/06,11:00:00,172.45
2023/07/06,12:00:00,203.42
2023/07/06,13:00:00,181.45
2023/07/06,14:00:00,151.91
2023/07/06,15:00:00,138.4
2023/07/06,16:00:00,127.49
2023/07/06,17:00:00,134.79
2023/07/06,18:00:00,140.79
2023/07/06,19:00:00,120.81
2023/07/06,20:00:00,99.37
2023/07/06,21:00:00,92.99
2023/07/06,22:00:00,91.69
2023/07/06,23:00:00,87.86
2023/07/07,00:00:00,82.66
2023/07/07,01:00:00,75.23
2023/07/07,02:00:00,65.22
2023/07/07,03:00:00,56.64
2023/07/07,04:00:00,50.41
2023/07/07,05:00:00,48.28
2023/07/07,06:00:00,48.73
2023/07/07,07:00:00,52.2
2023/07/07,08:00:00,56.77
2023/07/07,09:00:00,76.21
2023/07/07,10:00:00,129.25
2023/07/07,11:00:00,120.52
2023/07/07,12:00:00,128.34
2023/07/07,13:00:00,141.26
2023/07/07,14:00:00,139.48
2023/07/07,15:00:00,138.59
2023/07/07,16:00:00,145.11
2023/07/07,17:00:00,166.04
2023/07/07,18:00:00,188.47
2023/07/07,19:00:00,187.5
2023/07/07,20:00:00,194.78
2023/07/07,21:00:00,201.4
2023/07/07,22:00:00,175.83
2023/07/07,23:00:00,137.71
2023/07/08,00:00:00,122.98
