YYYY/MM/DD,HH:MM:SS,PM2.5
2021/07/01,07:00:00,25.76
2021/07/01,08:00:00,21.51
2021/07/01,09:00:00,18.8
2021/07/01,10:00:00,14.99
2021/07/01,11:00:00,6.78
2021/07/01,12:00:00,4.19
2021/07/01,13:00:00,2.91
2021/07/01,14:00:00,2.62
2021/07/01,15:00:00,3.18
2021/07/01,16:00:00,3.6
2021/07/01,17:00:00,5.54
2021/07/01,18:00:00,8.28
2021/07/01,19:00:00,10.4
2021/07/01,20:00:00,14.32
2021/07/01,21:00:00,18.22
2021/07/01,22:00:00,20.07
2021/07/01,23:00:00,20.67
2021/07/02,00:00:00,20.05
2021/07/02,01:00:00,19.52
2021/07/02,02:00:00,19.22
2021/07/02,03:00:00,20.22
2021/07/02,04:00:00,22.77
2021/07/02,05:00:00,25.98
2021/07/02,06:00:00,30.9
2021/07/02,07:00:00,39.28
2021/07/02,08:00:00,41.44
2021/07/02,09:00:00,38.99
2021/07/02,10:00:00,30.62
2021/07/02,11:00:00,17.44
2021/07/02,12:00:00,10.97
2021/07/02,13:00:00,8.41
2021/07/02,14:00:00,6.16
2021/07/02,15:00:00,4.29
2021/07/02,16:00:00,3.14
2021/07/02,17:00:00,4.42
2021/07/02,18:00:00,7.07
2021/07/02,19:00:00,8.42
2021/07/02,20:00:00,10.63
2021/07/02,21:00:00,13.05
2021/07/02,22:00:00,14.4
2021/07/02,23:00:00,15.16
2021/07/03,00:00:00,15.46
2021/07/03,01:00:00,15
2021/07/03,02:00:00,14.32
2021/07/03,03:00:00,14.35
2021/07/03,04:00:00,14.93
2021/07/03,05:00:00,15.83
2021/07/03,06:00:00,17.8
2021/07/03,07:00:00,22.84
2021/07/03,08:00:00,23.76
2021/07/03,09:00:00,24.76
2021/07/03,10:00:00,27.09
2021/07/03,11:00:00,28.57
2021/07/03,12:00:00,32.55
2021/07/03,13:00:00,42.81
2021/07/03,14:00:00,52.18
2021/07/03,15:00:00,68.35
2021/07/03,16:00:00,79.56
2021/07/03,17:00:00,86.8
2021/07/03,18:00:00,95.54
2021/07/03,19:00:00,96.89
2021/07/03,20:00:00,97.25
2021/07/03,21:00:00,100.19
2021/07/03,22:00:00,95.65
2021/07/03,23:00:00,84.1
2021/07/04,00:00:00,76.39
2021/07/04,01:00:00,69.96
2021/07/04,02:00:00,57.65
2021/07/04,03:00:00,46.54
2021/07/04,04:00:00,41.8
2021/07/04,05:00:00,40.47
2021/07/04,06:00:00,40.72
2021/07/04,07:00:00,43.47
2021/07/04,08:00:00,43.69
2021/07/04,09:00:00,46.95
2021/07/04,10:00:00,47.43
2021/07/04,11:00:00,11.31
2021/07/04,12:00:00,5.89
2021/07/04,13:00:00,4.36
2021/07/04,14:00:00,5.81
2021/07/04,15:00:00,8.85
2021/07/04,16:00:00,10.76
2021/07/04,17:00:00,12.2
2021/07/04,18:00:00,13.1
2021/07/04,19:00:00,13.05
2021/07/04,20:00:00,15.48
2021/07/04,21:00:00,19.35
2021/07/04,22:00:00,21.14
2021/07/04,23:00:00,21.54
2021/07/05,00:00:00,21.15
2021/07/05,01:00:00,21.46
2021/07/05,02:00:00,20.09
2021/07/05,03:00:00,18.55
2021/07/05,04:00:00,18.73
2021/07/05,05:00:00,20.8
2021/07/05,06:00:00,23.66
