YYYY/MM/DD,HH:MM:SS,PM2.5
2021/04/01,07:00:00,115.09
2021/04/01,08:00:00,127.87
2021/04/01,09:00:00,147.3
2021/04/01,10:00:00,206.13
2021/04/01,11:00:00,123.18
2021/04/01,12:00:00,109
2021/04/01,13:00:00,100.17
2021/04/01,14:00:00,93.48
2021/04/01,15:00:00,88.24
2021/04/01,16:00:00,78.41
2021/04/01,17:00:00,76.41
2021/04/01,18:00:00,84.12
2021/04/01,19:00:00,87.27
2021/04/01,20:00:00,85.53
2021/04/01,21:00:00,81.47
2021/04/01,22:00:00,77.7
2021/04/01,23:00:00,73.56
2021/04/02,00:00:00,70.75
2021/04/02,01:00:00,71.16
2021/04/02,02:00:00,72.55
2021/04/02,03:00:00,73.88
2021/04/02,04:00:00,76.61
2021/04/02,05:00:00,79.29
2021/04/02,06:00:00,81.77
2021/04/02,07:00:00,87.52
2021/04/02,08:00:00,94.51
2021/04/02,09:00:00,105.83
2021/04/02,10:00:00,137.87
2021/04/02,11:00:00,102.89
2021/04/02,12:00:00,92.09
2021/04/02,13:00:00,86.67
2021/04/02,14:00:00,82.83
2021/04/02,15:00:00,79.48
2021/04/02,16:00:00,75.41
2021/04/02,17:00:00,77.71
2021/04/02,18:00:00,83.56
2021/04/02,19:00:00,84.1
2021/04/02,20:00:00,82.26
2021/04/02,21:00:00,80.1
2021/04/02,22:00:00,77.41
2021/04/02,23:00:00,76.86
2021/04/03,00:00:00,78.81
2021/04/03,01:00:00,78.59
2021/04/03,02:00:00,76.96
2021/04/03,03:00:00,75.68
2021/04/03,04:00:00,75.23
2021/04/03,05:00:00,74.98
2021/04/03,06:00:00,75.09
2021/04/03,07:00:00,77.86
2021/04/03,08:00:00,71.44
2021/04/03,09:00:00,71.36
2021/04/03,10:00:00,76.2
2021/04/03,11:00:00,53.2
2021/04/03,12:00:00,42.61
2021/04/03,13:00:00,38.91
2021/04/03,14:00:00,40.28
2021/04/03,15:00:00,46.08
2021/04/03,16:00:00,53.31
2021/04/03,17:00:00,61.86
2021/04/03,18:00:00,61.57
2021/04/03,19:00:00,52.38
2021/04/03,20:00:00,46.45
2021/04/03,21:00:00,46.95
2021/04/03,22:00:00,48.6
2021/04/03,23:00:00,48.72
2021/04/04,00:00:00,46.76
2021/04/04,01:00:00,44.24
2021/04/04,02:00:00,43.76
2021/04/04,03:00:00,45.5
2021/04/04,04:00:00,48.2
2021/04/04,05:00:00,50.61
2021/04/04,06:00:00,53.84
2021/04/04,07:00:00,58.74
2021/04/04,08:00:00,59.95
2021/04/04,09:00:00,60.64
2021/04/04,10:00:00,61.23
2021/04/04,11:00:00,43.94
2021/04/04,12:00:00,36.94
2021/04/04,13:00:00,35.55
2021/04/04,14:00:00,35.53
2021/04/04,15:00:00,36.13
2021/04/04,16:00:00,34.87
2021/04/04,17:00:00,37.11
2021/04/04,18:00:00,41.79
2021/04/04,19:00:00,43.31
2021/04/04,20:00:00,43.63
2021/04/04,21:00:00,44.18
2021/04/04,22:00:00,44.49
2021/04/04,23:00:00,44.8
2021/04/05,00:00:00,43.16
2021/04/05,01:00:00,40.6
2021/04/05,02:00:00,38.65
2021/04/05,03:00:00,36.77
2021/04/05,04:00:00,34.62
2021/04/05,05:00:00,32.49
2021/04/05,06:00:00,32.56
2021/04/05,07:00:00,35.85
2021/04/05,08:00:00,39.79
2021/04/05,09:00:00,41.64
2021/04/05,10:00:00,40.82
2021/04/05,11:00:00,28.25
2021/04/05,12:00:00,24.97
2021/04/05,13:00:00,22.38
2021/04/05,14:00:00,22.08
2021/04/05,15:00:00,23.62
2021/04/05,16:00:00,22.85
2021/04/05,17:00:00,27.56
2021/04/05,18:00:00,39.44
2021/04/05,19:00:00,56.06
2021/04/05,20:00:00,69.92
2021/04/05,21:00:00,78.49
2021/04/05,22:00:00,77.21
2021/04/05,23:00:00,45.62
2021/04/06,00:00:00,35.96
2021/04/06,01:00:00,28.68
2021/04/06,02:00:00,24.55
2021/04/06,03:00:00,22.9
2021/04/06,04:00:00,21.84
2021/04/06,05:00:00,20.85
2021/04/06,06:00:00,20.67
2021/04/06,07:00:00,22.14
2021/04/06,08:00:00,23.9
2021/04/06,09:00:00,24.42
2021/04/06,10:00:00,23.65
2021/04/06,11:00:00,19.91
2021/04/06,12:00:00,18.23
2021/04/06,13:00:00,15.63
2021/04/06,14:00:00,11.62
2021/04/06,15:00:00,9.35
2021/04/06,16:00:00,8.47
2021/04/06,17:00:00,9.81
2021/04/06,18:00:00,13.13
2021/04/06,19:00:00,15.1
2021/04/06,20:00:00,16.3
2021/04/06,21:00:00,17.77
2021/04/06,22:00:00,19.07
2021/04/06,23:00:00,20.32
2021/04/07,00:00:00,20.34
2021/04/07,01:00:00,19.68
2021/04/07,02:00:00,18.85
2021/04/07,03:00:00,18.08
2021/04/07,04:00:00,17.48
2021/04/07,05:00:00,17.12
2021/04/07,06:00:00,17.97
2021/04/07,07:00:00,21.19
2021/04/07,08:00:00,26.33
2021/04/07,09:00:00,33.05
2021/04/07,10:00:00,41.65
2021/04/07,11:00:00,17.59
2021/04/07,12:00:00,13.65
2021/04/07,13:00:00,13.94
2021/04/07,14:00:00,21.47
2021/04/07,15:00:00,39.73
2021/04/07,16:00:00,58.07
2021/04/07,17:00:00,85.29
2021/04/07,18:00:00,114.21
2021/04/07,19:00:00,113.89
2021/04/07,20:00:00,104.42
2021/04/07,21:00:00,103.14
2021/04/07,22:00:00,100.15
2021/04/07,23:00:00,85.41
2021/04/08,00:00:00,81.57
2021/04/08,01:00:00,76.68
2021/04/08,02:00:00,67.66
2021/04/08,03:00:00,58.86
2021/04/08,04:00:00,52.72
2021/04/08,05:00:00,48.81
2021/04/08,06:00:00,47.83
2021/04/08,07:00:00,49.07
2021/04/08,08:00:00,44.37
2021/04/08,09:00:00,58.27
2021/04/08,10:00:00,76.88
2021/04/08,11:00:00,52.33
2021/04/08,12:00:00,34.66
2021/04/08,13:00:00,28.26
2021/04/08,14:00:00,31.59
2021/04/08,15:00:00,44.88
2021/04/08,16:00:00,55.55
2021/04/08,17:00:00,69.4
2021/04/08,18:00:00,79.55
2021/04/08,19:00:00,73.88
2021/04/08,20:00:00,68.08
2021/04/08,21:00:00,68.91
2021/04/08,22:00:00,71
2021/04/08,23:00:00,71.46
2021/04/09,00:00:00,70.35
2021/04/09,01:00:00,67.34
2021/04/09,02:00:00,58.54
2021/04/09,03:00:00,51.1
2021/04/09,04:00:00,47.29
2021/04/09,05:00:00,45.21
2021/04/09,06:00:00,44.17
2021/04/09,07:00:00,46.31
2021/04/09,08:00:00,41.39
2021/04/09,09:00:00,52.82
2021/04/09,10:00:00,76.03
2021/04/09,11:00:00,80.71
2021/04/09,12:00:00,103.15
2021/04/09,13:00:00,123.92
2021/04/09,14:00:00,134.62
2021/04/09,15:00:00,139.85
2021/04/09,16:00:00,137.63
2021/04/09,17:00:00,125.76
2021/04/09,18:00:00,122.68
2021/04/09,19:00:00,105.47
2021/04/09,20:00:00,81.34
2021/04/09,21:00:00,65.27
2021/04/09,22:00:00,55.79
2021/04/09,23:00:00,50.6
2021/04/10,00:00:00,47.68
2021/04/10,01:00:00,45.94
2021/04/10,02:00:00,44.52
2021/04/10,03:00:00,43.2
2021/04/10,04:00:00,42.39
2021/04/10,05:00:00,42.74
2021/04/10,06:00:00,43.84
2021/04/10,07:00:00,47.33
2021/04/10,08:00:00,46.24
2021/04/10,09:00:00,55.68
2021/04/10,10:00:00,68.96
2021/04/10,11:00:00,32.2
2021/04/10,12:00:00,20.81
2021/04/10,13:00:00,18.39
2021/04/10,14:00:00,18.17
2021/04/10,15:00:00,18.15
2021/04/10,16:00:00,17.21
2021/04/10,17:00:00,19.29
2021/04/10,18:00:00,23.77
2021/04/10,19:00:00,26.27
2021/04/10,20:00:00,28.61
2021/04/10,21:00:00,33.1
2021/04/10,22:00:00,37.7
2021/04/10,23:00:00,42.14
2021/04/11,00:00:00,45.51
2021/04/11,01:00:00,46.85
2021/04/11,02:00:00,45.67
2021/04/11,03:00:00,44.44
2021/04/11,04:00:00,44.96
2021/04/11,05:00:00,46.76
2021/04/11,06:00:00,47.89
2021/04/11,07:00:00,49.48
2021/04/11,08:00:00,44.11
2021/04/11,09:00:00,46.73
2021/04/11,10:00:00,51.48
2021/04/11,11:00:00,39.09
2021/04/11,12:00:00,25.3
2021/04/11,13:00:00,17.72
2021/04/11,14:00:00,14
2021/04/11,15:00:00,13.16
2021/04/11,16:00:00,12.49
2021/04/11,17:00:00,13.89
2021/04/11,18:00:00,17.55
2021/04/11,19:00:00,20.3
2021/04/11,20:00:00,26.05
2021/04/11,21:00:00,32.98
2021/04/11,22:00:00,37.1
2021/04/11,23:00:00,39.03
2021/04/12,00:00:00,39.34
2021/04/12,01:00:00,38.9
2021/04/12,02:00:00,38.27
2021/04/12,03:00:00,38.04
2021/04/12,04:00:00,38.71
2021/04/12,05:00:00,40.35
2021/04/12,06:00:00,42.89
2021/04/12,07:00:00,47.03
2021/04/12,08:00:00,40.93
2021/04/12,09:00:00,44.22
2021/04/12,10:00:00,49.97
2021/04/12,11:00:00,39.97
2021/04/12,12:00:00,29.88
2021/04/12,13:00:00,25.33
2021/04/12,14:00:00,26.11
2021/04/12,15:00:00,29.86
2021/04/12,16:00:00,31.85
2021/04/12,17:00:00,32.36
2021/04/12,18:00:00,30.5
2021/04/12,19:00:00,26.55
2021/04/12,20:00:00,24.31
2021/04/12,21:00:00,26.42
2021/04/12,22:00:00,30.02
2021/04/12,23:00:00,32.93
2021/04/13,00:00:00,34
2021/04/13,01:00:00,34.06
2021/04/13,02:00:00,34.65
2021/04/13,03:00:00,35.13
2021/04/13,04:00:00,35.35
2021/04/13,05:00:00,36.33
2021/04/13,06:00:00,38.54
2021/04/13,07:00:00,44.32
2021/04/13,08:00:00,38.55
2021/04/13,09:00:00,41.06
2021/04/13,10:00:00,46.22
2021/04/13,11:00:00,37.49
2021/04/13,12:00:00,29.58
2021/04/13,13:00:00,24.82
2021/04/13,14:00:00,24.2
2021/04/13,15:00:00,27.79
2021/04/13,16:00:00,31.43
2021/04/13,17:00:00,35.29
2021/04/13,18:00:00,36.66
2021/04/13,19:00:00,33.72
2021/04/13,20:00:00,31.67
2021/04/13,21:00:00,34.59
2021/04/13,22:00:00,39.94
2021/04/13,23:00:00,44.3
2021/04/14,00:00:00,44.95
2021/04/14,01:00:00,43.74
2021/04/14,02:00:00,43.2
2021/04/14,03:00:00,43.08
2021/04/14,04:00:00,43.46
2021/04/14,05:00:00,44.14
2021/04/14,06:00:00,45.61
2021/04/14,07:00:00,50.38
2021/04/14,08:00:00,41.26
2021/04/14,09:00:00,42.49
2021/04/14,10:00:00,44.9
2021/04/14,11:00:00,29.26
2021/04/14,12:00:00,19.34
2021/04/14,13:00:00,15.31
2021/04/14,14:00:00,17.11
2021/04/14,15:00:00,22.39
2021/04/14,16:00:00,26.4
2021/04/14,17:00:00,29.55
2021/04/14,18:00:00,30
2021/04/14,19:00:00,27.66
2021/04/14,20:00:00,23.45
2021/04/14,21:00:00,20.41
2021/04/14,22:00:00,18.89
2021/04/14,23:00:00,18.27
2021/04/15,00:00:00,18.07
2021/04/15,01:00:00,17.83
2021/04/15,02:00:00,18.93
2021/04/15,03:00:00,20.86
2021/04/15,04:00:00,22.99
2021/04/15,05:00:00,25.24
2021/04/15,06:00:00,28.32
2021/04/15,07:00:00,34.76
2021/04/15,08:00:00,47.67
2021/04/15,09:00:00,64.23
2021/04/15,10:00:00,80.06
2021/04/15,11:00:00,23.09
2021/04/15,12:00:00,20.04
2021/04/15,13:00:00,20.36
2021/04/15,14:00:00,21.62
2021/04/15,15:00:00,22.89
2021/04/15,16:00:00,22.4
2021/04/15,17:00:00,27.19
2021/04/15,18:00:00,34.83
2021/04/15,19:00:00,40.2
2021/04/15,20:00:00,42.68
2021/04/15,21:00:00,42.33
2021/04/15,22:00:00,40.82
2021/04/15,23:00:00,37.48
2021/04/16,00:00:00,33.6
2021/04/16,01:00:00,30.79
2021/04/16,02:00:00,29.54
2021/04/16,03:00:00,29.62
2021/04/16,04:00:00,30.8
2021/04/16,05:00:00,32.75
2021/04/16,06:00:00,34.59
2021/04/16,07:00:00,38.72
2021/04/16,08:00:00,29.69
2021/04/16,09:00:00,31.02
2021/04/16,10:00:00,34.75
2021/04/16,11:00:00,21.21
2021/04/16,12:00:00,16.29
2021/04/16,13:00:00,15.2
2021/04/16,14:00:00,18.27
2021/04/16,15:00:00,25.97
2021/04/16,16:00:00,32
2021/04/16,17:00:00,39.11
2021/04/16,18:00:00,50.23
2021/04/16,19:00:00,63.74
2021/04/16,20:00:00,75.81
2021/04/16,21:00:00,86.2
2021/04/16,22:00:00,89.64
2021/04/16,23:00:00,84.86
2021/04/17,00:00:00,82.71
2021/04/17,01:00:00,80.35
2021/04/17,02:00:00,76
2021/04/17,03:00:00,71.85
2021/04/17,04:00:00,67.62
2021/04/17,05:00:00,64.01
2021/04/17,06:00:00,62.44
2021/04/17,07:00:00,62.31
2021/04/17,08:00:00,69.52
2021/04/17,09:00:00,81.79
2021/04/17,10:00:00,88.53
2021/04/17,11:00:00,49.67
2021/04/17,12:00:00,37.68
2021/04/17,13:00:00,33.15
2021/04/17,14:00:00,30.68
