YYYY/MM/DD,HH:MM:SS,PM2.5
2024/07/01,07:00:00,21.82
2024/07/01,08:00:00,24.28
2024/07/01,09:00:00,26.16
2024/07/01,10:00:00,27.35
2024/07/01,11:00:00,25.67
2024/07/01,12:00:00,24.22
2024/07/01,13:00:00,24.48
2024/07/01,14:00:00,26.26
2024/07/01,15:00:00,26.54
2024/07/01,16:00:00,25.69
2024/07/01,17:00:00,26.31
2024/07/01,18:00:00,26.75
2024/07/01,19:00:00,25.39
2024/07/01,20:00:00,24.02
2024/07/01,21:00:00,24.34
2024/07/01,22:00:00,25.06
2024/07/01,23:00:00,23.99
2024/07/02,00:00:00,21.8
2024/07/02,01:00:00,19.32
2024/07/02,02:00:00,17.35
2024/07/02,03:00:00,16.33
2024/07/02,04:00:00,15.86
2024/07/02,05:00:00,16.2
2024/07/02,06:00:00,17.4
2024/07/02,07:00:00,20.04
2024/07/02,08:00:00,20.05
2024/07/02,09:00:00,20.31
2024/07/02,10:00:00,20.75
2024/07/02,11:00:00,19.58
2024/07/02,12:00:00,18.34
2024/07/02,13:00:00,17.5
2024/07/02,14:00:00,16.27
2024/07/02,15:00:00,16.77
2024/07/02,16:00:00,18.44
2024/07/02,17:00:00,24.24
2024/07/02,18:00:00,33.84
2024/07/02,19:00:00,42.98
2024/07/02,20:00:00,45.25
2024/07/02,21:00:00,43.63
2024/07/02,22:00:00,43.08
2024/07/02,23:00:00,39.14
2024/07/03,00:00:00,31.99
2024/07/03,01:00:00,25.06
2024/07/03,02:00:00,19.55
2024/07/03,03:00:00,16.68
2024/07/03,04:00:00,15.43
2024/07/03,05:00:00,14.93
2024/07/03,06:00:00,15.86
2024/07/03,07:00:00,20.12
2024/07/03,08:00:00,25.64
2024/07/03,09:00:00,28.42
2024/07/03,10:00:00,27.25
2024/07/03,11:00:00,22.33
2024/07/03,12:00:00,19.47
2024/07/03,13:00:00,18.08
2024/07/03,14:00:00,19.78
2024/07/03,15:00:00,20.44
2024/07/03,16:00:00,18.21
2024/07/03,17:00:00,16.39
2024/07/03,18:00:00,14.97
2024/07/03,19:00:00,11.91
2024/07/03,20:00:00,10.92
2024/07/03,21:00:00,15.31
2024/07/03,22:00:00,22.13
2024/07/03,23:00:00,29.1
2024/07/04,00:00:00,32.8
2024/07/04,01:00:00,33.48
2024/07/04,02:00:00,35.57
2024/07/04,03:00:00,39.78
2024/07/04,04:00:00,44.24
2024/07/04,05:00:00,46.83
2024/07/04,06:00:00,49.51
2024/07/04,07:00:00,54.8
2024/07/04,08:00:00,57.38
2024/07/04,09:00:00,54.51
2024/07/04,10:00:00,46.78
2024/07/04,11:00:00,37.51
2024/07/04,12:00:00,37.88
2024/07/04,13:00:00,52.76
2024/07/04,14:00:00,76.66
2024/07/04,15:00:00,79.86
2024/07/04,16:00:00,60.8
2024/07/04,17:00:00,34.83
2024/07/04,18:00:00,30.92
2024/07/04,19:00:00,30.18
2024/07/04,20:00:00,27.13
2024/07/04,21:00:00,25.37
2024/07/04,22:00:00,25.76
2024/07/04,23:00:00,26.51
2024/07/05,00:00:00,28.3
2024/07/05,01:00:00,30.68
2024/07/05,02:00:00,33.69
2024/07/05,03:00:00,37.85
2024/07/05,04:00:00,41.22
2024/07/05,05:00:00,43.52
2024/07/05,06:00:00,45.98
2024/07/05,07:00:00,51.4
2024/07/05,08:00:00,60.03
2024/07/05,09:00:00,67.42
2024/07/05,10:00:00,70.5
2024/07/05,11:00:00,66.48
2024/07/05,12:00:00,60.79
2024/07/05,13:00:00,55.35
2024/07/05,14:00:00,57.29
2024/07/05,15:00:00,69.16
2024/07/05,16:00:00,65.71
2024/07/05,17:00:00,59.76
2024/07/05,18:00:00,59.81
2024/07/05,19:00:00,58.33
2024/07/05,20:00:00,61.12
2024/07/05,21:00:00,63.92
2024/07/05,22:00:00,62.8
2024/07/05,23:00:00,54.47
2024/07/06,00:00:00,43.9
2024/07/06,01:00:00,34.46
2024/07/06,02:00:00,31.83
2024/07/06,03:00:00,32.33
2024/07/06,04:00:00,30.91
2024/07/06,05:00:00,26.66
2024/07/06,06:00:00,25.27
2024/07/06,07:00:00,29.54
2024/07/06,08:00:00,35.29
2024/07/06,09:00:00,40.44
2024/07/06,10:00:00,50.1
2024/07/06,11:00:00,79.79
2024/07/06,12:00:00,110.23
2024/07/06,13:00:00,121.57
2024/07/06,14:00:00,127.07
2024/07/06,15:00:00,127.04
2024/07/06,16:00:00,107.97
2024/07/06,17:00:00,89.77
2024/07/06,18:00:00,92.78
2024/07/06,19:00:00,88.55
2024/07/06,20:00:00,78.92
2024/07/06,21:00:00,74.04
2024/07/06,22:00:00,69.03
2024/07/06,23:00:00,64.64
2024/07/07,00:00:00,60.5
2024/07/07,01:00:00,55.1
2024/07/07,02:00:00,47.52
2024/07/07,03:00:00,42.44
2024/07/07,04:00:00,39.16
2024/07/07,05:00:00,38.04
2024/07/07,06:00:00,39.24
2024/07/07,07:00:00,42.96
2024/07/07,08:00:00,46.66
2024/07/07,09:00:00,52.09
2024/07/07,10:00:00,59.93
2024/07/07,11:00:00,55.53
2024/07/07,12:00:00,53.55
2024/07/07,13:00:00,42.9
2024/07/07,14:00:00,27.75
2024/07/07,15:00:00,15.32
2024/07/07,16:00:00,7.69
2024/07/07,17:00:00,5.59
2024/07/07,18:00:00,6.97
2024/07/07,19:00:00,8.4
2024/07/07,20:00:00,10.6
2024/07/07,21:00:00,13.62
2024/07/07,22:00:00,16.1
2024/07/07,23:00:00,18.1
2024/07/08,00:00:00,19.21
2024/07/08,01:00:00,20.3
2024/07/08,02:00:00,20.04
2024/07/08,03:00:00,19.95
2024/07/08,04:00:00,21.59
2024/07/08,05:00:00,23.47
2024/07/08,06:00:00,26.02
2024/07/08,07:00:00,31.22
2024/07/08,08:00:00,39.22
2024/07/08,09:00:00,45.98
2024/07/08,10:00:00,54.76
2024/07/08,11:00:00,63.83
2024/07/08,12:00:00,53.65
2024/07/08,13:00:00,37.23
2024/07/08,14:00:00,24.57
2024/07/08,15:00:00,21.96
2024/07/08,16:00:00,22.28
2024/07/08,17:00:00,24.39
2024/07/08,18:00:00,24.64
2024/07/08,19:00:00,19.69
2024/07/08,20:00:00,16.88
2024/07/08,21:00:00,21.73
2024/07/08,22:00:00,27.75
2024/07/08,23:00:00,32.11
2024/07/09,00:00:00,33.04
2024/07/09,01:00:00,32.01
2024/07/09,02:00:00,32.55
2024/07/09,03:00:00,34.15
2024/07/09,04:00:00,35.6
2024/07/09,05:00:00,36.39
2024/07/09,06:00:00,36.87
2024/07/09,07:00:00,40.74
2024/07/09,08:00:00,48.81
2024/07/09,09:00:00,57.74
2024/07/09,10:00:00,63.85
2024/07/09,11:00:00,65.98
2024/07/09,12:00:00,64.7
2024/07/09,13:00:00,54.1
2024/07/09,14:00:00,18.05
2024/07/09,15:00:00,14.69
2024/07/09,16:00:00,13.96
2024/07/09,17:00:00,13.47
2024/07/09,18:00:00,13.67
2024/07/09,19:00:00,14.09
2024/07/09,20:00:00,16.02
2024/07/09,21:00:00,20.49
2024/07/09,22:00:00,26.18
2024/07/09,23:00:00,30.76
2024/07/10,00:00:00,32.48
2024/07/10,01:00:00,32.56
2024/07/10,02:00:00,30.62
2024/07/10,03:00:00,27.84
2024/07/10,04:00:00,25.04
2024/07/10,05:00:00,23.17
2024/07/10,06:00:00,23.02
2024/07/10,07:00:00,26.47
2024/07/10,08:00:00,31.54
2024/07/10,09:00:00,37.15
2024/07/10,10:00:00,42.2
2024/07/10,11:00:00,42.73
2024/07/10,12:00:00,39.13
2024/07/10,13:00:00,30.99
2024/07/10,14:00:00,23.17
2024/07/10,15:00:00,23.68
2024/07/10,16:00:00,25.58
2024/07/10,17:00:00,28.43
2024/07/10,18:00:00,31.85
2024/07/10,19:00:00,35.25
2024/07/10,20:00:00,35.56
2024/07/10,21:00:00,35.26
2024/07/10,22:00:00,38.39
2024/07/10,23:00:00,40.48
2024/07/11,00:00:00,37.29
2024/07/11,01:00:00,31.61
2024/07/11,02:00:00,26.45
2024/07/11,03:00:00,23.45
2024/07/11,04:00:00,21.52
2024/07/11,05:00:00,20.65
2024/07/11,06:00:00,22.79
2024/07/11,07:00:00,29.3
2024/07/11,08:00:00,35.92
2024/07/11,09:00:00,37.1
2024/07/11,10:00:00,32.08
2024/07/11,11:00:00,10.99
2024/07/11,12:00:00,5.83
2024/07/11,13:00:00,4.76
2024/07/11,14:00:00,11.78
2024/07/11,15:00:00,27.54
2024/07/11,16:00:00,50.1
2024/07/11,17:00:00,78.25
2024/07/11,18:00:00,104.98
2024/07/11,19:00:00,123.46
2024/07/11,20:00:00,126.95
2024/07/11,21:00:00,125.25
2024/07/11,22:00:00,126.28
2024/07/11,23:00:00,116.98
2024/07/12,00:00:00,103.03
2024/07/12,01:00:00,89.31
2024/07/12,02:00:00,77.23
2024/07/12,03:00:00,65.49
2024/07/12,04:00:00,52.87
2024/07/12,05:00:00,43.1
2024/07/12,06:00:00,40.29
2024/07/12,07:00:00,43.65
2024/07/12,08:00:00,47.13
2024/07/12,09:00:00,47.07
2024/07/12,10:00:00,45.26
2024/07/12,11:00:00,42.01
2024/07/12,12:00:00,34.89
2024/07/12,13:00:00,23.86
2024/07/12,14:00:00,13.44
2024/07/12,15:00:00,15.62
2024/07/12,16:00:00,18.57
2024/07/12,17:00:00,21.53
2024/07/12,18:00:00,21.81
2024/07/12,19:00:00,18.02
2024/07/12,20:00:00,15.81
2024/07/12,21:00:00,18.83
2024/07/12,22:00:00,23.68
2024/07/12,23:00:00,28.54
2024/07/13,00:00:00,30.78
2024/07/13,01:00:00,31.27
2024/07/13,02:00:00,31.58
2024/07/13,03:00:00,31.85
2024/07/13,04:00:00,31.81
2024/07/13,05:00:00,31.82
2024/07/13,06:00:00,32.35
2024/07/13,07:00:00,34.52
2024/07/13,08:00:00,34.59
2024/07/13,09:00:00,33.6
2024/07/13,10:00:00,31.8
2024/07/13,11:00:00,27.19
2024/07/13,12:00:00,22.27
2024/07/13,13:00:00,17.28
2024/07/13,14:00:00,11.8
2024/07/13,15:00:00,9.47
2024/07/13,16:00:00,7.87
2024/07/13,17:00:00,7.98
2024/07/13,18:00:00,10.49
2024/07/13,19:00:00,13.47
2024/07/13,20:00:00,15.63
2024/07/13,21:00:00,17
2024/07/13,22:00:00,18.66
2024/07/13,23:00:00,19.86
2024/07/14,00:00:00,19.85
2024/07/14,01:00:00,18.11
2024/07/14,02:00:00,17.58
2024/07/14,03:00:00,17.57
2024/07/14,04:00:00,16.71
2024/07/14,05:00:00,14.9
2024/07/14,06:00:00,15.14
2024/07/14,07:00:00,19.7
2024/07/14,08:00:00,24.6
2024/07/14,09:00:00,26.45
2024/07/14,10:00:00,25.45
2024/07/14,11:00:00,21.38
2024/07/14,12:00:00,13.94
2024/07/14,13:00:00,6.91
2024/07/14,14:00:00,4.52
2024/07/14,15:00:00,6.32
2024/07/14,16:00:00,8.63
2024/07/14,17:00:00,12.19
2024/07/14,18:00:00,15.93
2024/07/14,19:00:00,18.52
2024/07/14,20:00:00,19.54
2024/07/14,21:00:00,20.92
2024/07/14,22:00:00,22.51
2024/07/14,23:00:00,23.04
2024/07/15,00:00:00,22.61
2024/07/15,01:00:00,22.1
2024/07/15,02:00:00,22.34
2024/07/15,03:00:00,23.6
2024/07/15,04:00:00,25.12
2024/07/15,05:00:00,26.2
2024/07/15,06:00:00,28.66
2024/07/15,07:00:00,34.45
2024/07/15,08:00:00,42.55
2024/07/15,09:00:00,47.43
2024/07/15,10:00:00,45.46
2024/07/15,11:00:00,30.43
2024/07/15,12:00:00,26.2
2024/07/15,13:00:00,27.29
2024/07/15,14:00:00,32.1
2024/07/15,15:00:00,44.9
2024/07/15,16:00:00,62.03
2024/07/15,17:00:00,81.24
2024/07/15,18:00:00,88.43
2024/07/15,19:00:00,78.74
2024/07/15,20:00:00,66.27
2024/07/15,21:00:00,61.63
2024/07/15,22:00:00,59.91
2024/07/15,23:00:00,59.86
2024/07/16,00:00:00,60.66
2024/07/16,01:00:00,60.66
2024/07/16,02:00:00,58.29
2024/07/16,03:00:00,53.82
2024/07/16,04:00:00,49.35
2024/07/16,05:00:00,46.06
2024/07/16,06:00:00,44
2024/07/16,07:00:00,44.56
2024/07/16,08:00:00,50.54
2024/07/16,09:00:00,56.46
2024/07/16,10:00:00,53.79
2024/07/16,11:00:00,45.66
2024/07/16,12:00:00,43.96
2024/07/16,13:00:00,46.02
2024/07/16,14:00:00,47.46
2024/07/16,15:00:00,49.77
2024/07/16,16:00:00,43.63
2024/07/16,17:00:00,30.56
