YYYY/MM/DD,HH:MM:SS,PM2.5
2025/04/04,08:00:00,56.47
2025/04/04,09:00:00,67.9
2025/04/04,10:00:00,89.87
2025/04/04,11:00:00,83.9
2025/04/04,12:00:00,88.63
2025/04/04,13:00:00,92.99
2025/04/04,14:00:00,88.04
2025/04/04,15:00:00,80.14
2025/04/04,16:00:00,68.41
2025/04/04,17:00:00,65.02
2025/04/04,18:00:00,71.77
2025/04/04,19:00:00,76.85
2025/04/04,20:00:00,81.35
2025/04/04,21:00:00,82.9
2025/04/04,22:00:00,81.67
2025/04/04,23:00:00,79.45
2025/04/05,00:00:00,76.67
2025/04/05,01:00:00,73.4
2025/04/05,02:00:00,70.08
2025/04/05,03:00:00,67.48
2025/04/05,04:00:00,66.56
2025/04/05,05:00:00,65.92
2025/04/05,06:00:00,66.36
2025/04/05,07:00:00,70.05
2025/04/06,08:00:00,10.16
2025/04/06,09:00:00,10.13
2025/04/06,10:00:00,10.46
2025/04/06,11:00:00,10.96
2025/04/06,12:00:00,11.04
2025/04/06,13:00:00,10.95
2025/04/06,14:00:00,9.66
2025/04/06,15:00:00,8.14
2025/04/06,16:00:00,7.36
2025/04/06,17:00:00,6.87
2025/04/06,18:00:00,6.84
2025/04/06,19:00:00,6.99
2025/04/06,20:00:00,7.3
2025/04/06,21:00:00,7.71
2025/04/06,22:00:00,8.1
2025/04/06,23:00:00,8.24
2025/04/07,00:00:00,8.13
2025/04/07,01:00:00,7.83
2025/04/07,02:00:00,7.75
2025/04/07,03:00:00,7.87
2025/04/07,04:00:00,7.98
2025/04/07,05:00:00,8.08
2025/04/07,06:00:00,8.18
2025/04/07,07:00:00,8.37
2025/04/07,08:00:00,8.35
2025/04/07,09:00:00,8.07
2025/04/07,10:00:00,7.8
2025/04/07,11:00:00,5.95
2025/04/07,12:00:00,4.76
2025/04/07,13:00:00,3.9
2025/04/07,14:00:00,3.83
2025/04/07,15:00:00,4.44
2025/04/07,16:00:00,5.31
2025/04/07,17:00:00,6.27
2025/04/07,18:00:00,7.11
2025/04/07,19:00:00,7.74
2025/04/07,20:00:00,8.22
2025/04/07,21:00:00,8.87
2025/04/07,22:00:00,9.55
2025/04/07,23:00:00,9.97
2025/04/08,00:00:00,10.17
2025/04/08,01:00:00,10.25
2025/04/08,02:00:00,10.42
2025/04/08,03:00:00,10.62
2025/04/08,04:00:00,10.72
2025/04/08,05:00:00,10.7
2025/04/08,06:00:00,10.7
2025/04/08,07:00:00,10.86
2025/04/08,08:00:00,10.64
2025/04/08,09:00:00,10.18
2025/04/08,10:00:00,9.95
2025/04/08,11:00:00,9.99
2025/04/08,12:00:00,8.27
2025/04/08,13:00:00,7.15
2025/04/08,14:00:00,7.12
2025/04/08,15:00:00,7.69
2025/04/08,16:00:00,8.26
2025/04/08,17:00:00,8.79
2025/04/08,18:00:00,9.28
2025/04/08,19:00:00,9.69
2025/04/08,20:00:00,9.7
2025/04/08,21:00:00,9.6
2025/04/08,22:00:00,9.7
2025/04/08,23:00:00,9.62
2025/04/09,00:00:00,9.67
2025/04/09,01:00:00,9.73
2025/04/09,02:00:00,9.8
2025/04/09,03:00:00,9.9
2025/04/09,04:00:00,10.01
2025/04/09,05:00:00,10.08
2025/04/09,06:00:00,10.2
2025/04/09,07:00:00,10.49
2025/04/09,08:00:00,10.19
2025/04/09,09:00:00,9.43
2025/04/09,10:00:00,9.19
2025/04/09,11:00:00,10.25
2025/04/09,12:00:00,9.68
2025/04/09,13:00:00,9.19
2025/04/09,14:00:00,9.41
2025/04/09,15:00:00,10.01
2025/04/09,16:00:00,10.7
2025/04/09,17:00:00,11.31
2025/04/09,18:00:00,12.12
2025/04/09,19:00:00,12.89
2025/04/09,20:00:00,12.75
2025/04/09,21:00:00,12.26
2025/04/09,22:00:00,11.89
