YYYY/MM/DD,HH:MM:SS,PM2.5
2021/01/01,07:00:00,87.69
2021/01/01,08:00:00,99.29
2021/01/01,09:00:00,113.56
2021/01/01,10:00:00,124.37
2021/01/01,11:00:00,75.23
2021/01/01,12:00:00,65.56
2021/01/01,13:00:00,57.99
2021/01/01,14:00:00,51
2021/01/01,15:00:00,46.24
2021/01/01,16:00:00,42.49
2021/01/01,17:00:00,50.68
2021/01/01,18:00:00,67.38
2021/01/01,19:00:00,82.8
2021/01/01,20:00:00,87.82
2021/01/01,21:00:00,88.67
2021/01/01,22:00:00,88.76
2021/01/01,23:00:00,87.16
2021/01/02,00:00:00,83.34
2021/01/02,01:00:00,78.63
2021/01/02,02:00:00,75.51
2021/01/02,03:00:00,72.98
2021/01/02,04:00:00,70.53
2021/01/02,05:00:00,68.51
2021/01/02,06:00:00,68.98
2021/01/02,07:00:00,73.54
2021/01/02,08:00:00,82.15
2021/01/02,09:00:00,94.04
2021/01/02,10:00:00,110.23
2021/01/02,11:00:00,91.32
2021/01/02,12:00:00,95.21
2021/01/02,13:00:00,88.04
2021/01/02,14:00:00,96.34
2021/01/02,15:00:00,131.39
2021/01/02,16:00:00,164.42
2021/01/02,17:00:00,197.51
2021/01/02,18:00:00,229.58
2021/01/02,19:00:00,249.36
2021/01/02,20:00:00,230.68
2021/01/02,21:00:00,200.92
2021/01/02,22:00:00,177.05
2021/01/02,23:00:00,157.24
2021/01/03,00:00:00,134.95
2021/01/03,01:00:00,116.47
2021/01/03,02:00:00,106.14
2021/01/03,03:00:00,99.37
2021/01/03,04:00:00,93.9
2021/01/03,05:00:00,88.87
2021/01/03,06:00:00,87.14
2021/01/03,07:00:00,91.88
2021/01/03,08:00:00,100.27
2021/01/03,09:00:00,111.17
2021/01/03,10:00:00,128.16
2021/01/03,11:00:00,101.56
2021/01/03,12:00:00,95.53
2021/01/03,13:00:00,85.64
2021/01/03,14:00:00,94.08
2021/01/03,15:00:00,124.16
2021/01/03,16:00:00,160.31
2021/01/03,17:00:00,199.55
2021/01/03,18:00:00,240.05
2021/01/03,19:00:00,277.59
2021/01/03,20:00:00,277.55
2021/01/03,21:00:00,245.34
2021/01/03,22:00:00,207.73
2021/01/03,23:00:00,172.9
2021/01/04,00:00:00,144.01
2021/01/04,01:00:00,120.94
2021/01/04,02:00:00,107.48
2021/01/04,03:00:00,100.25
2021/01/04,04:00:00,94.45
2021/01/04,05:00:00,88.89
2021/01/04,06:00:00,86.95
2021/01/04,07:00:00,91.7
2021/01/04,08:00:00,100.77
2021/01/04,09:00:00,111.6
2021/01/04,10:00:00,124.18
2021/01/04,11:00:00,99.33
2021/01/04,12:00:00,97.11
2021/01/04,13:00:00,91.86
2021/01/04,14:00:00,110.84
2021/01/04,15:00:00,159.92
2021/01/04,16:00:00,199.65
2021/01/04,17:00:00,248.75
2021/01/04,18:00:00,306.08
2021/01/04,19:00:00,330.82
2021/01/04,20:00:00,289.59
2021/01/04,21:00:00,233.32
2021/01/04,22:00:00,190.57
2021/01/04,23:00:00,164.36
2021/01/05,00:00:00,143.94
2021/01/05,01:00:00,125.62
2021/01/05,02:00:00,109.4
2021/01/05,03:00:00,96.43
2021/01/05,04:00:00,88.96
2021/01/05,05:00:00,83.17
2021/01/05,06:00:00,78.33
2021/01/05,07:00:00,79.28
2021/01/05,08:00:00,85.31
2021/01/05,09:00:00,93.55
2021/01/05,10:00:00,101.75
2021/01/05,11:00:00,77.33
2021/01/05,12:00:00,80.5
2021/01/05,13:00:00,80.62
2021/01/05,14:00:00,95.48
2021/01/05,15:00:00,136.35
2021/01/05,16:00:00,180.11
2021/01/05,17:00:00,224.21
2021/01/05,18:00:00,270.76
2021/01/05,19:00:00,314.23
2021/01/05,20:00:00,299.84
2021/01/05,21:00:00,255.61
2021/01/05,22:00:00,211.83
2021/01/05,23:00:00,178.66
2021/01/06,00:00:00,147.94
2021/01/06,01:00:00,119.44
2021/01/06,02:00:00,100.07
2021/01/06,03:00:00,89.96
2021/01/06,04:00:00,84.92
2021/01/06,05:00:00,79.96
2021/01/06,06:00:00,77.27
2021/01/06,07:00:00,82.07
2021/01/06,08:00:00,91.49
2021/01/06,09:00:00,103.15
2021/01/06,10:00:00,118.68
2021/01/06,11:00:00,121.5
2021/01/06,12:00:00,137.6
2021/01/06,13:00:00,123.01
