YYYY/MM/DD,HH:MM:SS,PM2.5
2022/01/01,07:00:00,48.3
2022/01/01,08:00:00,55.46
2022/01/01,09:00:00,65.13
2022/01/01,10:00:00,81.98
2022/01/01,11:00:00,48.36
2022/01/01,12:00:00,51.01
2022/01/01,13:00:00,51.9
2022/01/01,14:00:00,57.84
2022/01/01,15:00:00,69.07
2022/01/01,16:00:00,69.98
2022/01/01,17:00:00,77.14
2022/01/01,18:00:00,90.27
2022/01/01,19:00:00,87.54
2022/01/01,20:00:00,74.39
2022/01/01,21:00:00,71.69
2022/01/01,22:00:00,72.51
2022/01/01,23:00:00,73.08
2022/01/02,00:00:00,70.2
2022/01/02,01:00:00,64.92
2022/01/02,02:00:00,60.67
2022/01/02,03:00:00,57.31
2022/01/02,04:00:00,54.09
2022/01/02,05:00:00,50.51
2022/01/02,06:00:00,48.92
2022/01/02,07:00:00,52.27
2022/01/02,08:00:00,57.92
2022/01/02,09:00:00,65.44
2022/01/02,10:00:00,78.37
2022/01/02,11:00:00,60.43
2022/01/02,12:00:00,67.51
2022/01/02,13:00:00,73.02
2022/01/02,14:00:00,83.68
2022/01/02,15:00:00,98.34
2022/01/02,16:00:00,99.21
2022/01/02,17:00:00,100.15
2022/01/02,18:00:00,109.63
2022/01/02,19:00:00,110
2022/01/02,20:00:00,103.53
2022/01/02,21:00:00,101
2022/01/02,22:00:00,98.75
2022/01/02,23:00:00,93.96
2022/01/03,00:00:00,86.51
2022/01/03,01:00:00,79.87
2022/01/03,02:00:00,74.6
2022/01/03,03:00:00,71.03
2022/01/03,04:00:00,68.21
2022/01/03,05:00:00,65.47
2022/01/03,06:00:00,63.73
2022/01/03,07:00:00,68.42
2022/01/03,08:00:00,77.18
2022/01/03,09:00:00,86.52
2022/01/03,10:00:00,95.39
2022/01/03,11:00:00,60
2022/01/03,12:00:00,64.42
2022/01/03,13:00:00,70.26
2022/01/03,14:00:00,68.5
2022/01/03,15:00:00,65.04
2022/01/03,16:00:00,63.45
2022/01/03,17:00:00,75.25
2022/01/03,18:00:00,103.36
2022/01/03,19:00:00,123.75
2022/01/03,20:00:00,127.2
2022/01/03,21:00:00,126.6
2022/01/03,22:00:00,121.77
2022/01/03,23:00:00,112.06
2022/01/04,00:00:00,98.65
2022/01/04,01:00:00,86.76
2022/01/04,02:00:00,77.76
2022/01/04,03:00:00,71.21
2022/01/04,04:00:00,66.01
2022/01/04,05:00:00,61.39
2022/01/04,06:00:00,59.88
2022/01/04,07:00:00,64.84
2022/01/04,08:00:00,73.63
2022/01/04,09:00:00,83.78
2022/01/04,10:00:00,95.72
2022/01/04,11:00:00,79.19
2022/01/04,12:00:00,89.32
2022/01/04,13:00:00,95.43
2022/01/04,14:00:00,112.55
2022/01/04,15:00:00,146.68
2022/01/04,16:00:00,171.34
2022/01/04,17:00:00,197.95
2022/01/04,18:00:00,222
2022/01/04,19:00:00,215.23
2022/01/04,20:00:00,192.42
2022/01/04,21:00:00,178.48
2022/01/04,22:00:00,167.06
2022/01/04,23:00:00,152.42
2022/01/05,00:00:00,135.33
2022/01/05,01:00:00,116.01
2022/01/05,02:00:00,97.92
2022/01/05,03:00:00,84.87
2022/01/05,04:00:00,76.63
2022/01/05,05:00:00,71.36
2022/01/05,06:00:00,68.83
2022/01/05,07:00:00,71.23
2022/01/05,08:00:00,80.14
2022/01/05,09:00:00,92.33
2022/01/05,10:00:00,103.24
2022/01/05,11:00:00,87.96
2022/01/05,12:00:00,99.57
2022/01/05,13:00:00,110.48
2022/01/05,14:00:00,122.2
2022/01/05,15:00:00,145.06
2022/01/05,16:00:00,156.18
2022/01/05,17:00:00,168.92
2022/01/05,18:00:00,194.82
2022/01/05,19:00:00,212.65
2022/01/05,20:00:00,198.07
2022/01/05,21:00:00,173.2
2022/01/05,22:00:00,152.65
2022/01/05,23:00:00,136.94
2022/01/06,00:00:00,120.15
2022/01/06,01:00:00,103.37
2022/01/06,02:00:00,88.78
2022/01/06,03:00:00,77.7
2022/01/06,04:00:00,69.97
2022/01/06,05:00:00,63.59
2022/01/06,06:00:00,56.98
2022/01/06,07:00:00,54.08
2022/01/06,08:00:00,59.91
2022/01/06,09:00:00,69.72
2022/01/06,10:00:00,76.47
2022/01/06,11:00:00,52.66
2022/01/06,12:00:00,61.94
2022/01/06,13:00:00,70.89
